category,scope,year,count
M3,WORLD,2025,10213
M4,서울대,2016,8
M4,서울대,2017,10
M4,서울대,2018,9
M4,서울대,2019,11
M4,서울대,2020,5
M4,서울대,2021,5
M4,서울대,2022,9
M4,서울대,2023,8
M4,서울대,2024,5
M4,서울대,2025,6
M4,연세대,2016,3
M4,연세대,2017,5
M4,연세대,2018,6
M4,연세대,2019,6
M4,연세대,2020,9
M4,연세대,2021,4
M4,연세대,2022,6
M4,연세대,2023,4
M4,연세대,2024,6
M4,연세대,2025,3
M4,성균관대,2016,6
M4,성균관대,2017,3
M4,성균관대,2018,2
M4,성균관대,2019,0
M4,성균관대,2020,3
M4,성균관대,2021,3
M4,성균관대,2022,4
M4,성균관대,2023,3
M4,성균관대,2024,3
M4,성균관대,2025,4
M4,가톨릭대,2016,1
M4,가톨릭대,2017,2
M4,가톨릭대,2018,4
M4,가톨릭대,2019,1
M4,가톨릭대,2020,0
M4,가톨릭대,2021,1
M4,가톨릭대,2022,2
M4,가톨릭대,2023,2
M4,가톨릭대,2024,3
M4,가톨릭대,2025,1
M4,울산대,2016,4
M4,울산대,2017,6
M4,울산대,2018,4
M4,울산대,2019,1
M4,울산대,2020,2
M4,울산대,2021,3
M4,울산대,2022,2
M4,울산대,2023,1
M4,울산대,2024,3
M4,울산대,2025,4
M4,고려대,2016,7
M4,고려대,2017,6
M4,고려대,2018,2
M4,고려대,2019,8
M4,고려대,2020,4
M4,고려대,2021,10
M4,고려대,2022,12
M4,고려대,2023,8
M4,고려대,2024,9
M4,고려대,2025,9
M4,경희대,2016,3
M4,경희대,2017,5
M4,경희대,2018,5
M4,경희대,2019,2
M4,경희대,2020,3
M4,경희대,2021,1
M4,경희대,2022,2
M4,경희대,2023,3
M4,경희대,2024,1
M4,경희대,2025,6
M4,전남대,2016,1
M4,전남대,2017,0
M4,전남대,2018,0
M4,전남대,2019,1
M4,전남대,2020,0
M4,전남대,2021,1
M4,전남대,2022,0
M4,전남대,2023,2
M4,전남대,2024,0
M4,전남대,2025,2
